Title,Duration,Date,Time,Location,ImageURL
Soirée d'ouverture: The roundup,119,06/09,19h00,Salle 500,https://www.etrangefestival.com/images/programs/2326bd8b96eacdd2c5caebb7b96d35ff45a0f0b6.jpg
Batch '81,100,06/09,19h15,Salle 300,https://www.etrangefestival.com/images/movies/fee7e945b4e54a33096d4a6e31160de69bc1ea36.jpg
Batch '81,100,09/09,19h45,Salle 100,https://www.etrangefestival.com/images/movies/fee7e945b4e54a33096d4a6e31160de69bc1ea36.jpg
"Courts 1 - Animal, on est mal!",87,06/09,19h45,Salle 100,https://www.etrangefestival.com/images/programs/3bbbfdb3337737ebf78f33750c7ecf1039d1067b.jpg
"Courts 1 - Animal, on est mal!",87,09/09,15h45,Salle 100,https://www.etrangefestival.com/images/programs/3bbbfdb3337737ebf78f33750c7ecf1039d1067b.jpg
"Gonza, le lancier",126,06/09,21h30,Salle 300,https://www.etrangefestival.com/images/movies/39c9002f1d04d4c7d807d217d89a8e4186c91edb.jpg
"Gonza, le lancier",126,07/09,15h00,Salle 500,https://www.etrangefestival.com/images/movies/39c9002f1d04d4c7d807d217d89a8e4186c91edb.jpg
Assault,90,06/09,21h45,Salle 100,https://www.etrangefestival.com/images/movies/b3e7f91ea18f9a0f01f54cc31bce6ecd6b4cc012.jpg
Assault,90,15/09,14h15,Salle 300,https://www.etrangefestival.com/images/movies/b3e7f91ea18f9a0f01f54cc31bce6ecd6b4cc012.jpg
Life for sale,106,06/09,22h00,Salle 500,https://www.etrangefestival.com/images/movies/26429f29235fa650a3bf987db8b1ffea94948256.jpg
Life for sale,106,16/09,22h00,Salle 500,https://www.etrangefestival.com/images/movies/26429f29235fa650a3bf987db8b1ffea94948256.jpg
"Itim, les rites de mai",116,07/09,14h15,Salle 300,https://www.etrangefestival.com/images/movies/6c4a2dc748cc4d0681a07d4b6df033fd73421b26.jpg
"Itim, les rites de mai",116,18/09,20h45,Salle 100,https://www.etrangefestival.com/images/movies/6c4a2dc748cc4d0681a07d4b6df033fd73421b26.jpg
Courts 6 - Trop bizarre !,97,07/09,14h45,Salle 100,https://www.etrangefestival.com/images/programs/2bdbbe26aff2835617a2c23bd9ae9c80a0cc9417.jpg
Courts 6 - Trop bizarre !,97,13/09,16h00,Salle 100,https://www.etrangefestival.com/images/programs/2bdbbe26aff2835617a2c23bd9ae9c80a0cc9417.jpg
Under the blossoming cherry trees,95,07/09,16h45,Salle 300,https://www.etrangefestival.com/images/movies/51b05e7aed8595865bdbd332adec744e0d5e7be8.jpg
Under the blossoming cherry trees,95,13/09,15h30,Salle 300,https://www.etrangefestival.com/images/movies/51b05e7aed8595865bdbd332adec744e0d5e7be8.jpg
Président Faust,111,07/09,17h00,Salle 100,https://www.etrangefestival.com/images/programs/fe84d2448363e7ebe8b28bb800a5f65e4a2cf788.jpg
L’Étrange histoire du coupeur de bois,99,07/09,18h00,Salle 500,https://www.etrangefestival.com/images/movies/2efb1bb9fbeea4212a8d8a64fa339407d456bc85.jpg
L’Étrange histoire du coupeur de bois,99,10/09,21h45,Salle 100,https://www.etrangefestival.com/images/movies/2efb1bb9fbeea4212a8d8a64fa339407d456bc85.jpg
Couleur chair,116,07/09,19h00,Salle 300,https://www.etrangefestival.com/images/movies/d9820de393bdc983b5e2e7159efbe3e34f0811f6.jpg
Courts 3 - Analogies numériques,179,07/09,19h30,Salle 100,https://www.etrangefestival.com/images/programs/cb5d78fba69bfd6817749102ed91cca4b1b6108a.jpg
Courts 3 - Analogies numériques,179,12/09,20h00,Salle 100,https://www.etrangefestival.com/images/programs/cb5d78fba69bfd6817749102ed91cca4b1b6108a.jpg
La femme de Tchaïkovski,143,07/09,20h30,Salle 500,https://www.etrangefestival.com/images/movies/0c4f13ad96f2091fccca72386a4bc40b04154abd.jpg
La femme de Tchaïkovski,143,10/09,14h45,Salle 500,https://www.etrangefestival.com/images/movies/0c4f13ad96f2091fccca72386a4bc40b04154abd.jpg
Seobok + La décongélation de Monsieur Moro,128,07/09,21h30,Salle 300,https://www.etrangefestival.com/images/programs/a9e246d01394162a4c0f2dcc8503b33c6a918727.jpg
L'étang du démon,123,07/09,21h45,Salle 100,https://www.etrangefestival.com/images/movies/5d7f7842ea7342ab8aa50bb11ae28a8d9a786aff.jpg
L'étang du démon,123,14/09,14h00,Salle 300,https://www.etrangefestival.com/images/movies/5d7f7842ea7342ab8aa50bb11ae28a8d9a786aff.jpg
"Vaudou (entre vivants et morts, le sang)",100,08/09,15h00,Salle 100,https://www.etrangefestival.com/images/movies/e09873a0e71412593af73f2fcbf9133b59f6c744.jpg
"Vaudou (entre vivants et morts, le sang)",100,11/09,17h30,Salle 100,https://www.etrangefestival.com/images/movies/e09873a0e71412593af73f2fcbf9133b59f6c744.jpg
Himiko,100,08/09,15h15,Salle 300,https://www.etrangefestival.com/images/movies/7f6e5485fb13a3c9fbab34c38a5dc7403844492f.jpg
