Title,Duration,Date,Time,Location,ImageURL,Description,StartDatetime,EndDatetime,Start,End
Soirée d'ouverture: The roundup,119,06/09,19h00,Salle 500,https://www.etrangefestival.com/images/programs/2326bd8b96eacdd2c5caebb7b96d35ff45a0f0b6.jpg,06/09 - 19h00 - Salle 500 - 119 min,2023-09-06 19:00:00,2023-09-06 20:59:00,2023-09-06T19:00:00,2023-09-06T20:59:00
Batch '81,100,06/09,19h15,Salle 300,https://www.etrangefestival.com/images/movies/fee7e945b4e54a33096d4a6e31160de69bc1ea36.jpg,06/09 - 19h15 - Salle 300 - 100 min,2023-09-06 19:15:00,2023-09-06 20:55:00,2023-09-06T19:15:00,2023-09-06T20:55:00
Batch '81,100,09/09,19h45,Salle 100,https://www.etrangefestival.com/images/movies/fee7e945b4e54a33096d4a6e31160de69bc1ea36.jpg,09/09 - 19h45 - Salle 100 - 100 min,2023-09-09 19:45:00,2023-09-09 21:25:00,2023-09-09T19:45:00,2023-09-09T21:25:00
"Courts 1 - Animal, on est mal!",87,06/09,19h45,Salle 100,https://www.etrangefestival.com/images/programs/3bbbfdb3337737ebf78f33750c7ecf1039d1067b.jpg,06/09 - 19h45 - Salle 100 - 87 min,2023-09-06 19:45:00,2023-09-06 21:12:00,2023-09-06T19:45:00,2023-09-06T21:12:00
"Courts 1 - Animal, on est mal!",87,09/09,15h45,Salle 100,https://www.etrangefestival.com/images/programs/3bbbfdb3337737ebf78f33750c7ecf1039d1067b.jpg,09/09 - 15h45 - Salle 100 - 87 min,2023-09-09 15:45:00,2023-09-09 17:12:00,2023-09-09T15:45:00,2023-09-09T17:12:00
"Gonza, le lancier",126,06/09,21h30,Salle 300,https://www.etrangefestival.com/images/movies/39c9002f1d04d4c7d807d217d89a8e4186c91edb.jpg,06/09 - 21h30 - Salle 300 - 126 min,2023-09-06 21:30:00,2023-09-06 23:36:00,2023-09-06T21:30:00,2023-09-06T23:36:00
"Gonza, le lancier",126,07/09,15h00,Salle 500,https://www.etrangefestival.com/images/movies/39c9002f1d04d4c7d807d217d89a8e4186c91edb.jpg,07/09 - 15h00 - Salle 500 - 126 min,2023-09-07 15:00:00,2023-09-07 17:06:00,2023-09-07T15:00:00,2023-09-07T17:06:00
Assault,90,06/09,21h45,Salle 100,https://www.etrangefestival.com/images/movies/b3e7f91ea18f9a0f01f54cc31bce6ecd6b4cc012.jpg,06/09 - 21h45 - Salle 100 - 90 min,2023-09-06 21:45:00,2023-09-06 23:15:00,2023-09-06T21:45:00,2023-09-06T23:15:00
Assault,90,15/09,14h15,Salle 300,https://www.etrangefestival.com/images/movies/b3e7f91ea18f9a0f01f54cc31bce6ecd6b4cc012.jpg,15/09 - 14h15 - Salle 300 - 90 min,2023-09-15 14:15:00,2023-09-15 15:45:00,2023-09-15T14:15:00,2023-09-15T15:45:00
Life for sale,106,06/09,22h00,Salle 500,https://www.etrangefestival.com/images/movies/26429f29235fa650a3bf987db8b1ffea94948256.jpg,06/09 - 22h00 - Salle 500 - 106 min,2023-09-06 22:00:00,2023-09-06 23:46:00,2023-09-06T22:00:00,2023-09-06T23:46:00
